Points,sheet_ref,df error (%),S error (%),M error (%),delta error (%)
1,P6,2.32,3.4,4.85,3.4
2,P7,2.85,6.82,4.96,6.82
3,P8,0.23,1.37,0.47,1.37
4,P9,2.48,2.88,4.24,2.88
5,P10,0.29,0.19,0.59,0.19
6,P11,2.33,3.59,4.12,3.59
7,P12,8.36,13.93,15.66,2.052
8,P13,1.3,0.55,1.98,0.55
9,P14,2.71,3.29,4.69,3.29
10,P16,0.37,,0.65,3.09
11,P16.1,0.37,3.3,0.65,3.3
12,P16.2,0.37,3.87,0.65,3.87
13,P16.3,0.37,3.93,0.65,3.93
14,P16.4,0.37,3.82,0.65,3.82
15,P16.5,0.37,4.1,0.65,4.1
16,P16.6,0.37,3.74,0.65,3.74
17,P16.7,0.37,4.07,0.65,4.07
18,P16.8,0.37,4.4,0.65,4.4
19,P16.9,0.37,4.07,0.65,4.07
20,P16.10,0.37,3.95,0.65,3.95
