Points,campaign,f#,f,l,df,S,M,type,delta (px),StdDev (px)
6,setup-matrix,16,0.2,0.08,0.399502242,0.073886841,1.002495,-1,29.818,0.6001
7,setup-matrix,16,0.2,0.08,0.490604748,0.056033374,0.68822,1,22.613,1.366
8,setup-matrix,16,0.2,0.1,0.391410456,0.106411498,1.044875,-1,34.355,0.8521
9,setup-matrix,16,0.2,0.1,0.498238158,0.066185443,0.670605,1,21.368,0.5763
10,setup-matrix,11,0.2,0.08,0.391744443,0.082797468,1.043055,-1,33.414,0.771
11,setup-matrix,11,0.2,0.08,0.478504985,0.057158353,0.71812,1,23.067,1.023
12,setup-matrix,11,0.105,0.08,0.204592146,0.086074737,1.0543,-1,41.386,1.883
13,setup-matrix,4,0.105,0.08,0.288712569,0.046392091,0.571545,1,22.306,0.6617
14,setup-matrix,16,0.2,0.15,0.512727216,0.088624248,0.639535,1,25.238,0.772
16,slider-sweep,8,0.2,0,0.468258333,,0.74555,0,29.373,0.7733
16.1,slider-sweep,8,0.2,0.01,0.468258333,0.007651596,0.74555,1,29.432,0.8055
16.2,slider-sweep,8,0.2,0.02,0.468258333,0.015387944,0.74555,1,29.595,0.7575
16.3,slider-sweep,8,0.2,0.03,0.468258333,0.023095955,0.74555,1,29.613,0.7711
16.4,slider-sweep,8,0.2,0.04,0.468258333,0.03076029,0.74555,1,29.58,0.76608
16.5,slider-sweep,8,0.2,0.05,0.468258333,0.038556953,0.74555,1,29.662,0.81748
16.6,slider-sweep,8,0.2,0.01,0.468258333,0.007684613,0.74555,-1,29.559,0.7815
16.7,slider-sweep,8,0.2,0.02,0.468258333,0.015418101,0.74555,-1,29.653,0.7694
16.8,slider-sweep,8,0.2,0.03,0.468258333,0.023199685,0.74555,-1,29.746,0.7815
16.9,slider-sweep,8,0.2,0.04,0.468258333,0.030836,0.74555,-1,29.653,0.8264
16.10,slider-sweep,8,0.2,0.05,0.468258333,0.038498,0.74555,-1,29.617,0.857
